,n,time
0,100000,0.012002706527709961
1,105000,0.008002281188964844
2,110000,0.00800180435180664
3,115000,0.00800013542175293
4,120000,0.012004852294921875
5,125000,0.012021064758300781
6,130000,0.016004323959350586
7,135000,0.016004085540771484
8,140000,0.016194581985473633
9,145000,0.016004085540771484
10,150000,0.012002944946289062
11,155000,0.012002944946289062
12,160000,0.020000934600830078
13,165000,0.01974010467529297
14,170000,0.020004749298095703
15,175000,0.023998498916625977
16,180000,0.02001357078552246
17,185000,0.020005226135253906
18,190000,0.019997119903564453
19,195000,0.02799057960510254
20,200000,0.036026716232299805
21,205000,0.03600955009460449
22,210000,0.036009788513183594
23,215000,0.03600931167602539
24,220000,0.03600955009460449
25,225000,0.0400090217590332
26,230000,0.0360112190246582
27,235000,0.03600931167602539
28,240000,0.035996437072753906
29,245000,0.04402470588684082
30,250000,0.04401087760925293
31,255000,0.0479884147644043
32,260000,0.04801201820373535
33,265000,0.048001766204833984
34,270000,0.05203080177307129
35,275000,0.060004472732543945
36,280000,0.05601382255554199
37,285000,0.060018062591552734
38,290000,0.05602741241455078
39,295000,0.056023597717285156
40,300000,0.06002354621887207
41,305000,0.060014963150024414
42,310000,0.056034088134765625
43,315000,0.056006431579589844
44,320000,0.06802606582641602
45,325000,0.06801056861877441
46,330000,0.06401705741882324
47,335000,0.0760190486907959
48,340000,0.06802892684936523
49,345000,0.0720360279083252
50,350000,0.07201075553894043
51,355000,0.07202696800231934
52,360000,0.07600784301757812
53,365000,0.07623147964477539
54,370000,0.08380246162414551
55,375000,0.08003854751586914
56,380000,0.08402299880981445
57,385000,0.08400487899780273
58,390000,0.08803820610046387
59,395000,0.08802390098571777
60,400000,0.09222197532653809
61,405000,0.10002970695495605
62,410000,0.0960240364074707
63,415000,0.10002660751342773
64,420000,0.10401082038879395
65,425000,0.11204075813293457
66,430000,0.10802388191223145
67,435000,0.10802793502807617
68,440000,0.11602973937988281
69,445000,0.11644506454467773
70,450000,0.12003135681152344
71,455000,0.1120295524597168
72,460000,0.1122281551361084
73,465000,0.11604189872741699
74,470000,0.11202788352966309
75,475000,0.1165015697479248
76,480000,0.1120307445526123
77,485000,0.1198265552520752
78,490000,0.1280519962310791
79,495000,0.12403178215026855
80,500000,0.1320343017578125
81,505000,0.13604307174682617
