,n,time
0,6500,0.00802302360534668
1,11500,0.03601360321044922
2,16500,0.056009769439697266
3,21500,0.10004353523254395
4,26500,0.156219482421875
5,31500,0.18003320693969727
6,36500,0.25209808349609375
7,41500,0.3169846534729004
8,46500,0.35478758811950684
9,51500,0.42558908462524414
10,56500,0.4741833209991455
11,61500,0.544339656829834
12,66500,0.6282505989074707
13,71500,0.7001364231109619
14,76500,0.797762393951416
15,81500,0.8354315757751465
16,86500,0.9100978374481201
17,91500,0.9374916553497314
18,96500,0.750788688659668
19,101500,0.7109887599945068
20,106500,0.7821013927459717
21,111500,0.8572461605072021
22,116500,0.8992033004760742
23,121500,1.0018353462219238
24,126500,1.0698225498199463
25,131500,1.1730988025665283
26,136500,1.20884370803833
27,141500,1.2728099822998047
28,146500,1.4221017360687256
29,151500,1.621352195739746
30,156500,1.7117743492126465
31,161500,1.877120018005371
32,166500,1.9376208782196045
33,171500,1.9760410785675049
34,176500,2.157679557800293
35,181500,1.8891823291778564
36,186500,1.1208453178405762
37,191500,2.7882959842681885
38,196500,4.485198259353638
39,201500,5.075445652008057
